"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Channel Islands","CHI","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.050057511","0.430023937","1.201537144","2.222345323","2.990220838","4.378522005","6.1857333","7.878370461","8.541752228","9.79899191","10.48704014","11.67049717","12.44992413","13.0618791","14.01949855","15.13376135","15.95128317","16.57996326","17.35736146","18.09656566","19.62328707",
"China","CHN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001755839","0.02588502","0.252303079","0.852959779","1.884961039","2.806632321","3.799512213","4.93419774","6.122995604","7.638872763","9.22969172","11.36849026","12.6558438","13.5721864","14.32580171","19.69267651","22.81370164","27.73989833","28.53518942","31.33520101","33.59563762",
"Cote d'Ivoire","CIV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.002346643","0.004596423","0.006750383","0.053319354","0.052161475","0.051005916","0.049852569","","","0.214259977","0.254809235","0.56013233","0.472342739","0.572478854","0.584450845","0.701728773","0.842737656","0.986027365",
"Cameroon","CMR","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.001139093","0.002310182","0.003416927","0.004466914","0.00454777","0.029270584","0.051242711","0.064444167","0.076549237","0.074204699","0.087761512","1.52458664","1.556447382","1.569673259","1.549401423","2.689100746",
"Congo, Dem. Rep.","COD","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0.000630616","0.000677806","0.001311569","0.001269211","0.00122852","0.005495545","0.013711167","",
"Congo, Rep.","COG","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.003015397","0.00584969","0.02983041","0.030863383","0.009474855","0.010555257","","","","","","",
"Colombia","COL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022387099","0.034355155","0.085352153","0.155327846","0.30210366","0.747245052","1.453851757","2.759850377","4.004268447","4.72576413","5.84448297","7.332326999","8.548227073","9.759270646","10.70649708","11.62812593","12.27392136","12.94429123","13.44825224","13.80597715","15.26008418",
"Comoros","COM","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00016744","0.000653993","","0.01278015","0.016736936","0.009803164","0.047702453","0.056611598","0.170334217","0.175319115","0.208456788","0.205807899","0.205381653","0.201992402","0.183943234","0.147493319","0.104875684",
"Cabo Verde","CPV","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.061977544","0.202361824","0.386640237","0.806845451","1.534807692","2.254500474","3.262127172","4.276175337","3.929458569","4.143054785","3.680699866","3.157355124","2.925937501","2.789405728","2.879358255","3.682617037","4.4675505",
