"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Barbados","BRB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","10868499.9945657","15656171.6384982","19139837.1938904","5630300.31036336","2397684.5342294","4489152.48326658","6897500","4914000","8987000","30305500","29300000","37300000","35150000","16150000","36000000","4850000","7750000","7100000","25979409.31","8682963.92","11213282.795","7424921.25","14450000","9402113.87","12950000","63803750.15","15836484.06","28203499.05","29160482.23","47539505.12","73696943.905","91504910.94","228343253.8","184701288.595","228334500","390061395.8643","342267498.215","476404576.96","615122884.63","356008255.11","425337312.585","459552936.365","528045664.5074","104089451.159478","753687476.11428","688525943.309105","557688983.739785","206157500","241596500","215370000","",
"Brunei Darussalam","BRN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","85530000","-17550000","-3780000","290000","2080000","850000","-30890000","-3290000","4570000","350000","-19570000","-11110000","6210000","3620000","800000","3670000","-6050000","-70000","460000","10000000","7000000","5000000","7000000","8000000","5890000","582760563.3803","653600000","701740000","573250000","747868668.6923","549607250.7553","60694643.6567848","229671955.675395","123820911.146426","113205866.961457","175068516.562807","87839128.3133848","257635717.488309","222184549.489168","325586827.786629","480722546.956","691170274.5029","864905527.5015","775641999.0889","567889727.2383","171289167.823995","-150550827.310313","467927550.316567","516202620.629746","373256767.246304","",
"Bhutan","BTN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","420000","","","","","","","","","","","","","","","","1600000","600000","","","","50000","1400000","-700000","","1050274.7623","","","2425411.8983","3370306.5262","8859907.5392","6210884.3537","6122702.14271106","73855769.764882","3144001.01949936","18299707.2343963","75274009.0283126","31141614.8601365","24380673.5733894","20433631.0650379","23534931.751976","6450953.8497443","11884162.3485119","-16553759.9525493","2649454.31118453","13011377.2857268","",
"Botswana","BWA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","70000","-38268702.2467827","11270002.8304612","12233365.1123827","40813517.2929934","127851715.071269","111550709.397601","88438639.8238063","21074900.8946108","23793769.119755","62154696.1525429","53611787.5922365","70404390.657485","113583514.209604","39921524.1272293","42186013.0205889","95889963.0424103","-8211493.7828439","-1564184.90561566","-286949434.086852","-14154569.0110668","70413220.7555472","71182310.7136661","100109748.737479","95318134.9210105","36675065.7829259","57171341.354862","30680571.2084683","407997392.45524","418040676.139807","390889251.855271","420854175.013436","486913109.102448","494634226.153715","520917902.314755","208699298.206302","218379837.568309","293208060.474684","146084155.211847","67136806.1634995","515184471.01724","378554181.530079","142522598.297582","260575129.351448","285955061.932015","93607130.0326021","",
"Central African Republic","CAF","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1200000","700000","1500000","-200000","5800000","5600000","3700000","-2845168.07135611","6084486.34383566","22757439.7367339","5343631.08528873","5781443.35245489","9153812.42838185","4469041.68570388","5149252.03381976","2991566.43558607","8160415.31776924","11898718.6498225","-3827452.80303765","1285233.01951129","697850.065105837","-4874038.73164914","-10676567.963142","-9980132.27944839","3602275.00892801","6200565.7641","10925575.5036","1497424.0537","7300593.9466","5976946.5274","889074.9126","5183898.8103","5644286.5587","11300000","15100000","10100000","34670000","56750000","117110000","42280000","61520000","36908455.8896","70035157.3289","1852792.6119","3475007.991","3000000","7256090.4839","6888751.4009","18003535.3903","25601157.4181","",
"Canada","CAN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","1827117680.30674","2273318428.36666","2110873961.07408","3184571500.54189","3723538434.68265","3386183402.57977","2450721215.75787","3371826624.08886","3740191707.68949","5307737031.12626","5813268734.78803","663720808.269735","90061244.1131481","4618560061.87692","5675261448.85168","1256760213.69256","2709677620.68495","8597306053.61165","7196400040.3342","7171648940.44922","8401707941.43435","3514220103.04375","7018240062.86526","4178460316.69705","9541029101.65658","13657593613.3371","8817677647.2938","15182400421.6905","24979208298.1649","27456044687.0987","68303350856.0836","28391098831.3382","24486425376.8819","7011792709.04631","1452416545.21802","25552226940.9281","64302303096.8668","120451484862.004","70119614332.5095","20951090410.3132","29714744325.4741","38338330427.428","49368985104.1989","67027866778.2682","64174605785.6347","59986208237.0735","34201872160.6085","25357801000.497","43159748307.9798","45087716089.8033","",
"Central Europe and the Baltics","CEB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","0","0","0","0","0","6000000","5000000","25000000","30000000","10000000","18000000","14000000","16000000","28000000","15000000","16000000","12000000","15000000","11000000","646819000","1849041210.2598","2522640711.57185","5563094008.72228","5377514695.24172","12558106072.37","11262472730.75","14298828886.7246","19665293910.2945","22103118135.4093","23562956308.4427","21625801492.5101","26481834432.6867","20414105077.8084","43043918533.3495","74726630916.3753","81628100565.9902","153392903966.077","138571794675.031","30638671436.0934","20999153919.6099","50013606914.8381","39263315156.2913","15310955589.4774","52912137005.9183","22474742881.1858","115639666691.003","28995600791.5506","-21637715928.6318","138115795368.669","",
"Switzerland","CHE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","642643620.490481","777125995.866918","1267334791.67726","2122388474.7415","2320291936.53845","405248411.125538","2497180494.21581","5544796309.51597","2838789160.79242","1128487634.09191","1706937974.44082","3682699144.72734","4158247959.95384","4880219415.70052","8391921105.89553","11345529735.0728","14541329307.9251","23080879762.6769","9765012889.09898","8258050580.1782","19721053893.3922","7102294152.7232","2664910821.00245","53760772986.3034","48688296542.6701","2990936685.10856","47658570354.7326","17670735602.9225","20764483834.5029","39943494321.6384","-24926465856.5785","21003091521.7734","118752400108.647","167027624500.277","142756382245.921","-146999399150.6","37313310481.4208","",
"Channel Islands","CHI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","12330000","-18970000","-1100000","-4800000","2310000","50000000","-1000000","21000000","181000000","244000000","213000000","383000000","401000000","135000000","78000000","144300000","315500000","890500000","967900000","1283500000","661200000","822700000","936100000","1034300000","2582100000","2957000000","4814616000","5271400000","4627817978","8761016217.84","4860015667.52","4199763048.85","2549923142.41108","4026497832.75699","6797252642.36959","7462207179.80944","7586190389.76648","13474760472.5025","18473102612.1039","13855126064.8962","16019683111.6555","25564944876.5765","31368232402.7197","22210440993.2687","23558041868.3533","20879139388.8964","12328624278.076","6127820993.23861","7759647365.06777","12586607704.3638","",
